situation,clue,polarity
I was bragging to my friends the other day about how I got a new car . ,they all know that I can't afford a new car .,0
I was bragging to my friends the other day about how I got a new car . ,I was driving recklessly .,0
I was bragging to my friends the other day about how I got a new car . ,I wasn't paying attention to the road .,0
I was bragging to my friends the other day about how I got a new car . ,I was driving it when the accident happened .,0
I was bragging to my friends the other day about how I got a new car . ,my old car is starting to act up .,0
I was bragging to my friends the other day about how I got a new car . ,my old one broke down .,0
I was bragging to my friends the other day about how I got a new car . ,my old car is starting to break down .,0
I was bragging to my friends the other day about how I got a new car . ,it's not a big deal to them .,0
She bragged to all her friends about her new car . ,I can't afford a car,0
She bragged to all her friends about her new car . ,I can't afford a car .,0
She bragged to all her friends about her new car . ,I don't have a car .,0
She bragged to all her friends about her new car . ,I can't even afford a car .,0
She bragged to all her friends about her new car . ,I am not rich .,0
She bragged to all her friends about her new car . ,I am poor .,0
She bragged to all her friends about her new car . ,I can't even afford a used car .,0
She bragged to all her friends about her new car . ,I don't have a job .,0
I bragged to all my friends about how I got the new girl's number at school . ,I didn't actually get her number .,0
I bragged to all my friends about how I got the new girl's number at school . ,I made the whole story up .,0
I bragged to all my friends about how I got the new girl's number at school . ,I made the whole story up .,0
I bragged to all my friends about how I got the new girl's number at school . ,she gave me the wrong number on purpose .,0
I bragged to all my friends about how I got the new girl's number at school . ,she didn't give me her number .,0
I bragged to all my friends about how I got the new girl's number at school . ,I am the only one who is single in my group of friends .,0
I bragged to all my friends about how I got the new girl's number at school . ,I didn't actually get her number .,0
I bragged to all my friends about how I got the new girl's number at school . ,I was acting too confident .,0
I bragged to all my friends about how I got the new girl's number at school . ,I come across as a jerk .,0
I bragged to all my friends about how I got the new girl's number at school . ,I was being too cocky .,0
I bragged to all my friends about how I got the new girl's number at school . ,I am not confident enough .,0
I bragged to all my friends about how I got the new girl's number at school . ,I am not that cool .,0
I bragged to all my friends about how I got the new girl's number at school . ,I am not as smooth as I thought I was .,0
I broke my back last week when I fell off my bike . ,it was a really bad fall .,0
I broke my back last week when I fell off my bike . ,the doctor said my injury was very severe.,0
I break my back after falling down the stairs at my office . ,I won't be able to do my job .,0
I break my back after falling down the stairs at my office . ,I will be out of work for a long time .,0
I break my back after falling down the stairs at my office . ,my injury is so severe .,0
I break my back after falling down the stairs at my office . ,my legs feel weird .,0
I break my back after falling down the stairs at my office . ,I will be in so much pain .,0
I break my back after falling down the stairs at my office . ,it's a really long way down .,0
I break my back after falling down the stairs at my office . ,I will not be able to walk again .,0
I fell off my skateboard and broke my back . ,it is a very serious injury .,0
I fell off my skateboard and broke my back . ,I saw the bone poking out .,0
I fell off my skateboard and broke my back . ,it was a really bad fall .,0
I fell off my skateboard and broke my back . ,it was a very bad fall .,0
I fell off my skateboard and broke my back . ,I was in so much pain .,0
I fell off my skateboard and broke my back . ,my back is in a lot of pain .,0
I fell off my skateboard and broke my back . ,I can never walk again .,0
I fell off my skateboard and broke my back . ,it was a pretty brutal fall .,0
I fell off my skateboard and broke my back . ,my back is severely broken .,0
I fell off my skateboard and broke my back . ,it was a really bad fall .,0
I fell off my skateboard and broke my back . ,I can't feel my legs .,0
I fell off my skateboard and broke my back . ,my back is in so much pain .,0
I fell off my skateboard and broke my back . ,my injury is so severe .,0
I fell off my skateboard and broke my back . ,I have a lot of pain .,0
I broke my leg skiing . ,I can't walk .,0
I broke my leg skiing . ,I can't go out and do anything .,0
I broke my leg skiing . ,I can't walk .,0
I broke my leg skiing . ,I can't ski with a broken leg .,0
I broke my leg skiing . ,the pain is unbearable .,0
I broke my leg skiing . ,it is a very serious injury .,0
I broke my leg skiing . ,it  was  a  very  bad  injury .,0
I broke my hip when I fell from the tree . ,it is a very serious injury .,0
I broke my hip when I fell from the tree . ,my bones are very weak .,0
I broke my hip when I fell from the tree . ,the doctor said my hip was severely damaged .,0
I broke my hip when I fell from the tree . ,the doctor said it's a bad break .,0
I broke my hip when I fell from the tree . ,the doctor said the hip was shattered .,0
I broke my hip when I fell from the tree . ,the hip is a very fragile bone .,0
I broke my hip when I fell from the tree . ,it is a serious injury .,0
I broke my hip when I fell from the tree . ,my hip was severely injured .,0
I broke my hip when I fell from the tree . ,it takes a long time to recover from a broken hip .,0
I broke my hip when I fell from the tree . ,I can't walk properly .,0
I broke my hip when I fell from the tree . ,I have to go to the hospital .,0
I broke my hip when I fell from the tree . ,I have to rest for a long time .,0
I broke my hip when I fell from the tree . ,I am old now .,0
I broke my hip when I fell from the tree . ,it will be too painful .,0
I broke my hip when I fell from the tree . ,I am too scared .,0
I break my hip after falling down the stairs at my office . ,it's a very complicated injury .,0
I break my hip after falling down the stairs at my office . ,I will be in the hospital .,0
I break my hip after falling down the stairs at my office . ,I  have to stay in the hospital for surgery .,0
I break my hip after falling down the stairs at my office . ,I'm old .,0
I was playing tennis with my friends when I broke my hip . ,I have never broken a bone before .,0
I was playing tennis with my friends when I broke my hip . ,it is a very serious injury .,0
I was playing tennis with my friends when I broke my hip . ,I couldn't walk anymore .,0
I was playing tennis with my friends when I broke my hip . ,I will have to have surgery .,0
I was playing tennis with my friends when I broke my hip . ,my hip is very painful .,0
I was playing tennis with my friends when I broke my hip . ,the doctor said I shouldn't play any high impact sports .,0
"After my fall , I had to have surgery to fix my broken hip . ",the surgery wasn't successful .,0
"After my fall , I had to have surgery to fix my broken hip . ",the surgery was difficult .,0
"After my fall , I had to have surgery to fix my broken hip . ",I'm getting old .,0
"After my fall , I had to have surgery to fix my broken hip . ",I am old .,0
"After my fall , I had to have surgery to fix my broken hip . ",the surgery didn't go well .,0
"After my fall , I had to have surgery to fix my broken hip . ",my doctor said I have to be careful .,0
"After my fall , I had to have surgery to fix my broken hip . ",the surgery wasn't completely successful .,0
"After my fall , I had to have surgery to fix my broken hip . ",the surgery was very intense .,0
"After my fall , I had to have surgery to fix my broken hip . ",the doctors said it was a serious injury .,0
"After my fall , I had to have surgery to fix my broken hip . ",the surgery was very complicated .,0
I broke my hip while playing soccer . ,I am too old .,0
I broke my hip while playing soccer . ,I have to use a wheelchair now .,0
I broke my hip while playing soccer . ,I have never broken any bones before .,0
I broke my hip while playing soccer . ,surgery will be required .,0
I broke my hip while playing soccer . ,the doctor said it was a bad break .,0
I broke my hip while playing soccer . ,I  am  old .,0
I broke my hip while playing soccer . ,the  pain was so severe .,0
I broke my hip while playing soccer . ,my injury was so severe .,0
I broke my hip while playing soccer . ,I'm old .,0
I broke my mom's favorite vase . ,I  have  never  seen  my mom so angry .,0
I broke my mom's favorite vase . ,I know how much she values it .,0
I broke my mom's favorite vase . ,I know she really likes that vase .,0
I broke my mom's favorite vase . ,I know how much she loves that vase .,0
I broke my mom's favorite vase . ,I know she is really mad .,0
I broke my mom's favorite vase . ,I know how  much she loved that vase .,0
I broke my mom's favorite vase . ,she was very attached to it .,0
I broke my mom's favorite vase . ,she was so angry .,0
I break my mother's favorite vase by accident . ,I know how much she loves that vase .,0
I break my mother's favorite vase by accident . ,I didn't mean to break it .,0
I break my mother's favorite vase by accident . ,I carelessly put it on the edge of the table .,0
I break my mother's favorite vase by accident . ,I always break things .,0
I break my mother's favorite vase by accident . ,I always carelessly break things at home .,0
I break my mother's favorite vase by accident . ,she has been telling me to be careful with it .,0
I break my mother's favorite vase by accident . ,she loves that vase .,0
I break my mother's favorite vase by accident . ,she told me many times not to touch it .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,she won't be able to find another one like it .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,she will be really mad .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,it was so expensive .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,I know how much she loved that vase .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,I didn't tell her what happened .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,she has never forgiven me for anything .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,she loved that vase .,0
I accidentally broke my mom's favorite vase when I was dusting it . ,she was very attached to it .,0
I broke my mom's favorite vase when I was moving out of my apartment . ,I was the one who broke it .,0
I broke my mom's favorite vase when I was moving out of my apartment . ,she told me not to touch it .,0
I broke my mom's favorite vase when I was moving out of my apartment . ,she has had that vase for years .,0
I broke my mom's favorite vase when I was moving out of my apartment . ,she just bought it .,0
I broke my mom's favorite vase when I was moving out of my apartment . ,I know how much she loves that vase .,0
I broke my window yesterday . ,it was my responsibility .,0
I broke my window yesterday . ,it was my mistake .,0
I broke my window yesterday . ,it was my fault .,0
I broke my window yesterday . ,she told me not to play near the window .,0
I broke my window yesterday . ,it was my fault .,0
I broke my window yesterday . ,I was the one who broke it .,0
I broke my window yesterday . ,I am so poor .,0
I broke my window yesterday . ,I am low on money .,0
I broke my window yesterday . ,I am broke .,0
I broke my window yesterday . ,it's a big window .,0
I accidentally break my car's window when I hit a baseball too hard . ,my insurance won't cover it .,0
I accidentally break my car's window when I hit a baseball too hard . ,it was my fault .,0
I accidentally break my car's window when I hit a baseball too hard . ,I caused the damage .,0
I accidentally break my car's window when I hit a baseball too hard . ,it's made of expensive glass .,0
I accidentally break my car's window when I hit a baseball too hard . ,it's made of tempered glass .,0
I accidentally break my car's window when I hit a baseball too hard . ,I can't afford it .,0
I accidentally break my car's window when I hit a baseball too hard . ,it's a new car,0
I accidentally break my car's window when I hit a baseball too hard . ,the window is made of expensive glass .,0
I accidentally break my car's window when I hit a baseball too hard . ,it was my fault .,0
I was angry and threw a rock at my own window . ,the glass was shards everywhere .,0
I was angry and threw a rock at my own window . ,the glass shattered .,0
I was angry and threw a rock at my own window . ,it's my own property .,0
I was angry and threw a rock at my own window . ,it was my own actions that led to the broken window .,0
I was angry and threw a rock at my own window . ,it was a criminal act .,0
I was angry and threw a rock at my own window . ,it was reckless .,0
I was angry and threw a rock at my own window . ,the rock hit the windshield of the car parked in front of my house .,0
I was angry and threw a rock at my own window . ,the rock could've gone through the window .,0
My little sister broke my window while she was playing ball . ,I will have to pay for it .,0
My little sister broke my window while she was playing ball . ,my mom will be so angry .,0
My little sister broke my window while she was playing ball . ,I was the one who told her to play ball inside .,0
My little sister broke my window while she was playing ball . ,I am the oldest child in the family .,0
My little sister broke my window while she was playing ball . ,I am the one who should have been watching her .,0
My little sister broke my window while she was playing ball . ,they just bought the house .,0
My little sister broke my window while she was playing ball . ,they just repaired the window .,0
My little sister broke my window while she was playing ball . ,it was my responsibility .,0
My little sister broke my window while she was playing ball . ,it was my window .,0
My little sister broke my window while she was playing ball . ,I am the oldest child .,0
My little sister broke my window while she was playing ball . ,he just bought the house .,0
My little sister broke my window while she was playing ball . ,he just bought that window .,0
I breastfeed my baby every day . ,my baby always cries when Drink my milk .,0
I breastfeed my baby every day . ,my baby is always crying and seem very hungry .,0
I breastfeed my baby every day . ,my baby needs me all the time .,0
I breastfeed my baby every day . ,I need to keep my baby fed .,0
I breastfeed my baby every day . ,I will be too busy taking care of my baby .,0
I breastfeed my baby every day . ,I am not eating enough .,0
I breastfeed my baby every day . ,I  didn't  eat  well  today .,0
I breastfeed my baby every day . ,my milk supply is low .,0
I breastfeed my baby every day . ,my breastmilk is not very abundant .,0
I breastfeed my baby every day . ,my breast are not full .,0
A mother is breastfeeding her baby . ,people might be offended by it .,0
A mother is breastfeeding her baby . ,some people are uncomfortable with it .,0
A mother is breastfeeding her baby . ,it seems very difficult and painful .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,I'm not used to seeing that .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,I think  it is private and personal .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,I was staring at her .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,I am already in my 30s .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,I am not married .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,it makes some people uncomfortable .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,some people are not comfortable with it .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,many people were there .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,it was gross .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,it is  not polite to do so .,0
I was in the grocery store the other day and saw a woman breastfeeding her baby . ,it's not appropriate .,0
I am breastfeeding my newborn daughter . ,I am not eating  well .,0
I am breastfeeding my newborn daughter . ,I am not eating enough,0
I am breastfeeding my newborn daughter . ,I am not drinking enough water .,0
I am breastfeeding my newborn daughter . ,I am not experienced .,0
I am breastfeeding my newborn daughter . ,I am not producing enough milk .,0
I am breastfeeding my newborn daughter . ,I  have never breastfed before .,0
I am breastfeeding my newborn daughter . ,it's my first time .,0
I am breastfeeding my newborn daughter . ,this is my first time breastfeeding .,0
I am breastfeeding my newborn daughter . ,this is my first time doing it .,0
I am breastfeeding my newborn daughter . ,it's her first time nursing .,0
A woman is breastfeeding her baby in public . ,some people are not comfortable with it .,0
A woman is breastfeeding her baby in public . ,it's not common to see women breastfeeding in public .,0
A woman is breastfeeding her baby in public . ,I believe that it's a private act .,0
A woman is breastfeeding her baby in public . ,I don't like to see nipples,0
A woman is breastfeeding her baby in public . ,I'm not comfortable with seeing a breast .,0
My dad brews beer in his spare time . ,I never had alcohol before .,0
My dad brews beer in his spare time . ,I can not control myself .,0
My dad brews beer in his spare time . ,I can't control myself when it comes to alcohol .,0
My dad brews beer in his spare time . ,I don't like the smell of beer .,0
My dad brews beer in his spare time . ,beer is nasty .,0
I like to brew my own beer as a hobby . ,it's my first time brewing .,0
I like to brew my own beer as a hobby . ,it's my first time brewing .,0
I like to brew my own beer as a hobby . ,I'm still a beginner .,0
I like to brew my own beer as a hobby . ,I've never tried it before .,0
I like to brew my own beer as a hobby . ,I have no experience in brewing beer .,0
I like to brew my own beer as a hobby . ,it may not turn out well .,0
I like to brew my own beer as a hobby . ,I have to wait weeks or even months for it to be ready .,0
I like to brew my own beer as a hobby . ,I don't have a license to do so .,0
I like to brew my own beer as a hobby . ,it doesn't taste good .,0
I like to brew my own beer as a hobby . ,I'm not a professional .,0
I brew my own beer and today I'm going to start bottling it . ,I've never done it before .,0
I brew my own beer and today I'm going to start bottling it . ,this is my first time brewing .,0
I brew my own beer and today I'm going to start bottling it . ,I've never done it before .,0
I brew my own beer and today I'm going to start bottling it . ,I've never done it before .,0
I brew my own beer and today I'm going to start bottling it . ,I've never brewed beer before .,0
I brew my own beer and today I'm going to start bottling it . ,I've never done this before .,0
I brew my own beer and today I'm going to start bottling it . ,I've never brewed beer before .,0
I brew my own beer and today I'm going to start bottling it . ,it's not as bubbly as it's supposed to be .,0
I brew my own beer and today I'm going to start bottling it . ,it's been fermenting for over two weeks .,0
I brew my own beer at home . ,I'm not familiar with the process .,0
I brew my own beer at home . ,I don't have much brewing experience .,0
I brew my own beer at home . ,I've never done it before .,0
I brew my own beer at home . ,I've never done it before .,0
I brew my own beer at home . ,I have never brewed beer before .,0
I brew my own beer at home . ,I don't have any brewing experience .,0
I am going to bring my laptop to class tomorrow . ,I accidentally dropped it yesterday .,0
I am going to bring my laptop to class tomorrow . ,it is almost out of power .,0
I am going to bring my laptop to class tomorrow . ,it was at 1% when I put it away last night .,0
I am going to bring my laptop to class tomorrow . ,it's getting old .,0
I bring forth my best work in order to be considered for a promotion . ,my work is not as good as others .,0
I bring forth my best work in order to be considered for a promotion . ,my co-worker has been with the company for a longer time .,0
I bring forth my best work in order to be considered for a promotion . ,management wants to keep me in my current position .,0
I bring forth my best work in order to be considered for a promotion . ,my work is not good enough .,0
I bring forth my best work in order to be considered for a promotion . ,others have been with the company longer .,0
I bring forth my best work in order to be considered for a promotion . ,others have more experience .,0
I bring forth my best work in order to be considered for a promotion . ,my boss is often unimpressed with my work .,0
I bring forth my best work in order to be considered for a promotion . ,my co-workers are also trying to get promoted .,0
I bring forth my best work in order to be considered for a promotion . ,the others who are also vying for the position may have more experience .,0
I bring forth my best work in order to be considered for a promotion . ,my colleagues may have worked harder than me .,0
I bring forth my best work in order to be considered for a promotion . ,I'm constantly comparing it to others .,0
I bring forth my best work in order to be considered for a promotion . ,my efforts are constantly compared to others .,0
I am going to bring my laptop to the show so I can keep an eye on my email . ,it is very valuable to me .,0
I am going to bring my laptop to the show so I can keep an eye on my email . ,I will be too distracted to keep an eye on it .,0
I am going to bring my laptop to the show so I can keep an eye on my email . ,I saw the weather forecast .,0
I bring my team together for a meeting . ,we never get along .,0
I bring my team together for a meeting . ,I 'm not a good team leader .,0
I bring my team together for a meeting . ,I'm not a natural leader .,0
I bring my team together for a meeting . ,no one will be on the same page .,0
I bring my team together for a meeting . ,we don't have anything to discuss .,0
I bring my team together for a meeting . ,no one will be interested in what I have to say .,0
I bring my team together for a meeting . ,I am new to the team .,0
I bring my team together for a meeting . ,I am new to the organization .,0
I bring my team together for a meeting . ,I am the youngest on the team .,0
I bring my team together for a meeting . ,it will be too much work for them .,0
I bring my team together for a meeting . ,it involves working more hours .,0
I bring my team together for a meeting . ,it will be a lot of work .,0
We brought the team together for a training session . ,We didn't have a plan .,0
We brought the team together for a training session . ,we didn't have the right people in the room .,0
We brought the team together for a training session . ,the team members didn't like each other .,0
We brought the team together for a training session . ,we don't have enough time to cover everything .,0
We brought the team together for a training session . ,we didn't have enough time to practice .,0
We brought the team together for a training session . ,we only had one week to prepare .,0
We brought the team together for a training session . ,I am the newest member of the team .,0
We brought the team together for a training session . ,I am new to the company .,0
We brought the team together for a training session . ,I didn't read the training materials in advance .,0
We brought the team together for a training session . ,most of the team members were not paying attention .,0
We brought the team together for a training session . ,nobody was interested in learning .,0
We brought the team together for a training session . ,the team wasn't ready to learn .,0
We brought the team together for a training session . ,we have never worked together before .,0
We brought the team together for a training session . ,they don't know each other very well .,0
We are bringing our families together for the first time . ,we don't know each other that well .,0
We are bringing our families together for the first time . ,they have never met each other  before .,0
We are bringing our families together for the first time . ,We just met each other .,0
We are bringing our families together for the first time . ,we haven't seen each other in a while .,0
We are bringing our families together for the first time . ,we don't know each other well .,0
We are bringing our families together for the first time . ,we don't know each other that well .,0
We are bringing our families together for the first time . ,we have not talked in a while .,0
We are bringing our families together for the first time . ,they are all very different .,0
We are bringing our families together for the first time . ,they are from different cultures .,0
We are bringing our families together for the first time . ,I am not used to cooking for such a big group .,0
We are bringing our families together for the first time . ,I don't have much experience cooking for a lot of people .,0
I bring my laptop back home with me after work . ,I left it in the car .,0
I bring my laptop back home with me after work . ,I usually don't  keep an eye on it .,0
I bring my laptop back home with me after work . ,I will leave it unattended for a few minutes in the front hall .,0
I bring my laptop back home with me after work . ,I can't concentrate at home .,0
I bring my laptop back home with me after work . ,I will be too tired .,0
I bring my laptop back home with me after work . ,my laptop is full of work files .,0
I bring my laptop back home with me after work . ,I have to finish my presentation .,0
I bring my laptop back home with me after work . ,my boss will be emailing me .,0
I bring my laptop back home with me after work . ,I will be too distracted by everything else at home .,0
I bring my laptop back home with me after work . ,my bed is right next to my laptop .,0
I bring my laptop back home with me after work . ,I didn't finish my work at the office .,0
I bring my laptop back home with me after work . ,I have a lot of work to do .,0
I bring my laptop back home with me after work . ,I haven't finished my work .,0
I brought my date back to my place after the movie . ,my place is too messy .,0
I brought my date back to my place after the movie . ,I was in a hurry to leave .,0
I brought my date back to my place after the movie . ,my place is really small and messy .,0
I brought my date back to my place after the movie . ,my place is such a mess .,0
I brought my date back to my place after the movie . ,it's not very clean .,0
I brought my date back to my place after the movie . ,they are really strict .,0
I brought my date back to my place after the movie . ,they are sitting in the living room .,0
I brought my date back to my place after the movie . ,they don't really like my date .,0
I will bring my daughter to school . ,school is too far from home .,0
I will bring my daughter to school . ,I am not a superman .,0
I will bring my daughter to school . ,I am not her mother .,0
I will bring my daughter to school . ,I will be too emotional .,0
I will bring my daughter to school . ,I 'm not good with kids .,0
I will bring my daughter to school . ,I'm too emotional .,0
I will bring my daughter to school . ,I'm not good with kids .,0
I will bring my daughter to school . ,I can't control my emotions .,0
I will bring my daughter to school . ,I have never taken care of a child before .,0
I will bring my daughter to school . ,I'm always working .,0
I will bring my daughter to school . ,it's the first day of school .,0
I will bring my daughter to school . ,she hasn't been to school before .,0
I bring my daughter to her first day of school . ,she will be leaving me .,0
I bring my daughter to her first day of school . ,she will be away from me for the whole day .,0
I bring my daughter to her first day of school . ,she has to leave me for the first time .,0
I bring my daughter to her first day of school . ,it's her first time being in school .,0
I bring my daughter to her first day of school . ,she  is  very shy .,0
I bring my daughter to her first day of school . ,it may be too hard for her .,0
I bring my daughter to her first day of school . ,she  has  to share  her  toys  with  other  kids .,0
I bring my daughter to her first day of school . ,she'll be spending most of the day away from me .,0
I bring my daughter to her first day of school . ,I'll be all alone at home .,0
My mother brought me up by herself . ,I'm very grateful for what she has done for me .,0
My mother brought me up by herself . ,I was not mature enough .,0
My mother brought me up by herself . ,I was a difficult child .,0
My mother brought me up by herself . ,my father didn't play a role in my life .,0
My mother brought me up by herself . ,my father is not with us .,0
My mother brought me up by herself . ,my mother is always busy at work .,0
My mother brought me up by herself . ,she didn't have a husband .,0
My mother brought me up by herself . ,she is not a good person .,0
My mother brought me up by herself . ,she didn't have a partner to help her .,0
My mother brought me up by herself . ,my father wasn't around .,0
My mother brought me up by herself . ,my father didn't help her,0
My mother brought me up by herself . ,she had to be both a father and a mother to me .,0
My mother brought me up by herself . ,she was always working .,0
My mother brought me up by herself . ,she was a single mother .,0
My mother brought me up by herself . ,she  didn't have enough money .,0
I brought my daughter to her first dance recital . ,she is very shy .,0
I brought my daughter to her first dance recital . ,she didn't listen to the practice at home .,0
I brought my daughter to her first dance recital . ,she was the only one not wearing a costume,0
I brought my daughter to her first dance recital . ,she     is the only one not wearing a tutu .,0
I brought my daughter to her first dance recital . ,she was the only one not wearing a costume .,0
I brought my daughter to her first dance recital . ,she is usually shy around new people .,0
I brought my daughter to her first dance recital . ,she has never been on stage before .,0
I brought my daughter to her first dance recital . ,she was not doing well in the practice .,0
I brought my daughter to her first dance recital . ,she was too nervous .,0
I brought my daughter to her first dance recital . ,she was so shy .,0
I brought my daughter to her first dance recital . ,she is the youngest one in the class .,0
I brought my daughter to her first dance recital . ,she is not the best dancer in her class .,0
I brought my daughter to her first dance recital . ,she lacked practice .,0
I bring my grades to my mom . ,I didn't do well in school .,0
I bring my grades to my mom . ,I have gotten lower grades than usual .,0
I bring my grades to my mom . ,my grades aren't good .,0
I bring my grades to my mom . ,I didn't do well this term .,0
I bring my grades to my mom . ,I didn't work hard this semester .,0
I bring my grades to my mom . ,my grades aren't good .,0
I bring my grades to my mom . ,I got a C on my math test .,0
I bring my grades to my mom . ,my grades aren't good .,0
I bring my grades to my mom . ,my grades aren't good .,0
I bring my grades to my mom . ,I got a C on the math test .,0
I bring my grades to my parents to show them that I am doing well in school . ,I didn't do as well as I could have .,0
I bring my grades to my parents to show them that I am doing well in school . ,I didn't get all As .,0
I bring my grades to my parents to show them that I am doing well in school . ,I'm not doing as well as they wanted me to .,0
I bring my grades to my parents to show them that I am doing well in school . ,I could have gotten all A's .,0
I bring my grades to my parents to show them that I am doing well in school . ,my grades are not as good as they want them to be .,0
I bring my grades to my parents to show them that I am doing well in school . ,my grades aren't all A's .,0
I bring my grades to my parents to show them that I am doing well in school . ,I could have done better .,0
I bring my grades to my parents to show them that I am doing well in school . ,I'm not doing as well as they wanted me to .,0
I bring my grades to my parents to show them that I am doing well in school . ,I got a C on my Math test .,0
I bring my grades to my parents to show them that I am doing well in school . ,my grades are not as good as they used to be .,0
I bring my grades to my parents to show them that I am doing well in school . ,I didn't get all A's .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,I'll start to think I'm better than everyone else .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,my friends will start to get jealous .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,I will  stop studying and not do as well next semester .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,it was really hard to bring my grades up .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,it was just a fluke .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,it was really hard to do it the first time .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,I'm not getting straight A's .,0
I'm so proud of myself- I brought my grades up from a C to an A in just one semester! . ,I should have gotten an A in the first place .,0
I have brought my grades up this semester . ,my grades were really low last semester .,0
I have brought my grades up this semester . ,my grades aren't good enough .,0
I have brought my grades up this semester . ,my GPA is too low .,0
I have brought my grades up this semester . ,it was so difficult .,0
I have brought my grades up this semester . ,it was so difficult last time .,0
I have brought my grades up this semester . ,the workload is really heavy .,0
I have brought my grades up this semester . ,I have been procrastinating a lot lately .,0
I have brought my grades up this semester . ,I will get too comfortable .,0
I have brought my grades up this semester . ,my GPA is low .,0
I have brought my grades up this semester . ,my grades were pretty low last semester,0
I'm going to bring my kids to soccer practice . ,I always get stuck in traffic .,0
I'm going to bring my kids to soccer practice . ,I have to work late .,0
I'm going to bring my kids to soccer practice . ,traffic is always heavy at that time .,0
I'm going to bring my kids to soccer practice . ,I didn't leave early enough .,0
I'm going to bring my kids to soccer practice . ,I can't find my car keys .,0
I'm going to bring my kids to soccer practice . ,they're always running around and playing .,0
I am a working mother and I often have to bring my kids to work with me . ,my kids will be running around and making noise .,0
I am a working mother and I often have to bring my kids to work with me . ,they are not exposed to the outside world as much .,0
I am a working mother and I often have to bring my kids to work with me . ,my work life and my home life are always mixing together .,0
I am a working mother and I often have to bring my kids to work with me . ,they are not like other kids who get to go to school and play with friends .,0
I am a working mother and I often have to bring my kids to work with me . ,I'm not able to spend as much time with them as I would like .,0
I am a working mother and I often have to bring my kids to work with me . ,I cannot afford quality child care .,0
I am a working mother and I often have to bring my kids to work with me . ,I'm not able to give them all of my attention .,0
I brought my kids to my ex's house . ,she is always accusing me of not being a good father .,0
I brought my kids to my ex's house . ,she wants full custody of the kids .,0
I brought my kids to my ex's house . ,she never wants to compromise .,0
I brought my kids to my ex's house . ,my ex doesn't want to see me .,0
I brought my kids to my ex's house . ,my ex told me not to come .,0
I brought my kids to my ex's house . ,we don't have a good relationship .,0
I brought my kids to my ex's house . ,they think I am a terrible mother .,0
I brought my kids to my ex's house . ,they don't approve of him .,0
I brought my kids to my ex's house . ,he moved to another state .,0
I brought my kids to my ex's house . ,he never wants to see them again .,0
I brought my kids to my ex's house . ,they had so much fun there .,0
I brought my kids to my ex's house . ,they always have fun when they're there .,0
I brought my son to school for the first time . ,I didn't cry .,0
I brought my son to school for the first time . ,I didn't send him to school earlier .,0
I brought my son to school for the first time . ,I didn't know how to take care of my son .,0
I brought my son to school for the first time . ,I will miss him so much .,0
I brought my son to school for the first time . ,I will be at work .,0
I brought my son to school for the first time . ,he has never been to school before .,0
I brought my son to school for the first time . ,he is only five years old .,0
I brought my son to school for the first time . ,he doesn't know the way .,0
I brought my son to school for the first time . ,he is shy .,0
I brought my son to school for the first time . ,he is scared of new environments .,0
I brought my son to school for the first time . ,he is too young .,0
I brought my son to school for the first time . ,he will be away from me .,0
I brought my son with me on my business trip to London . ,there are not many kid-friendly activities in the city .,0
I brought my son with me on my business trip to London . ,there are a lot of business meetings .,0
I brought my son with me on my business trip to London . ,he has to stay in the hotel room by himself .,0
I brought my son with me on my business trip to London . ,I  didn't ask my husband's permission .,0
I brought my son with me on my business trip to London . ,I  didn't tell my husband in advance .,0
I brought my son with me on my business trip to London . ,he is too young to be on a business trip .,0
I brought my son with me on my business trip to London . ,I have to work long hours .,0
I brought my son with me on my business trip to London . ,I have to attend a lot of business meetings .,0
I brought my son with me on my business trip to London . ,I will be busy with business meetings .,0
I brought my son with me on my business trip to London . ,I planned everything last minute .,0
I brought my son with me on my business trip to London . ,I didn't ask my husband to watch him .,0
I brought my son with me on my business trip to London . ,I didn't bring his passport .,0
I bring my son to his first day of school . ,he is too shy .,0
