situation,thought,action,polarity
I was eavesdropping on a conversation and I think I heard my boss say that I'm getting a promotion . ,he may have actually said that I'm getting fired .,I will keep an ear out for more updates on the situation.,0
I was eavesdropping on a conversation and I think I heard my boss say that I'm getting a promotion . ,he may have actually said that I'm getting fired .,I quickly walked away .,0
"I read on the news that they finally caught the criminals , I can't believe my ears ! . ",hey will not be able to properly pay for their actions .,I'll have to wait and see.,0
"I read on the news that they finally caught the criminals , I can't believe my ears ! . ",hey will not be able to properly pay for their actions .,I call my representatives to demand stricter punishment laws .,0
"I read on the news that they finally caught the criminals , I can't believe my ears ! . ",hey will not be able to properly pay for their actions .,I donate to the victim's families.,0
"I believe in my luck, and it pays off when I win the lottery . ",people will think I am greedy .,I act modestly and donate some money to charity.,0
"I believe in my luck, and it pays off when I win the lottery . ",people will think I am greedy .,I donate money to charity .,0
"I believe in my luck, and it pays off when I win the lottery . ",people will think I am greedy .,I try to keep it a secret.,0
"I believe in my luck, and it pays off when I win the lottery . ",he money will change me .,I spend it wisely.,0
"I believe in my luck, and it pays off when I win the lottery . ",he money will change me .,I will be more generous to others.,0
"I believe in my luck, and it pays off when I win the lottery . ",he money will change me .,I spend it all on a new car .,0
"I believe in my luck, and it pays off when I win the lottery . ",I will be cursed .,I don't buy lottery tickets .,0
"I believe in my luck, and it pays off when I win the lottery . ",I will be cursed .,I give the money away to charity.,0
"I believe in my luck, and it pays off when I win the lottery . ",I won't ever be that lucky again .,I give my lottery ticket to the next person .,0
"I believe in my luck, and it pays off when I win the lottery . ",I won't ever be that lucky again .,I don't even bother to try .,0
"I believe in my luck, and it pays off when I win the lottery . ",I won't ever be that lucky again .,I give up on trying .,0
I have a lucky penny that my grandma gave me and I always carry it with me . ,I will lose it .,I check my pockets often .,0
I have a lucky penny that my grandma gave me and I always carry it with me . ,I will lose it .,I put it in my pocket .,0
I have a lucky penny that my grandma gave me and I always carry it with me . ,may not be lucky .,I shake it to test its luck .,0
I have a lucky penny that my grandma gave me and I always carry it with me . ,may not be lucky .,I leave it in my room .,0
I have a lucky penny that my grandma gave me and I always carry it with me . ,may not be lucky .,I don't carry it with me .,0
I believe that good luck comes to those who work hard . ,I will not achieve anything .,I give up easily .,0
I believe that good luck comes to those who work hard . ,I will not achieve anything .,I try harder .,0
I believe that good luck comes to those who work hard . ,"matter how much effort I put in, things will never go my way .",I give up easily .,0
I believe that good luck comes to those who work hard . ,"matter how much effort I put in, things will never go my way .",I feel discouraged and give up .,0
I believe that good luck comes to those who work hard . ,bad things will happen to me .,I try harder .,0
I believe that good luck comes to those who work hard . ,bad things will happen to me .,I work hard .,0
I believe that good luck comes to those who work hard . ,I will never be lucky .,I don't bother trying .,0
I believe that good luck comes to those who work hard . ,I will never be lucky .,I always try my best .,0
I believe that good luck comes to those who work hard . ,I work hard and don't have any good luck .,I am feeling down and want to give up .,0
I believe that good luck comes to those who work hard . ,I work hard and don't have any good luck .,I always pray to god .,0
I believe that good luck comes to those who work hard . ,I work hard and don't have any good luck .,I become frustrated .,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will not be able to change his mind .,I research some studies on how business CEOs delegate.,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will not be able to change his mind .,I give up and agree to take over the company.,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will not be able to change his mind .,I tell him that I will think about it.,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will have to give up my dreams .,I try to find the courage to face him.,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will have to give up my dreams .,I keep silent .,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will never be able to make my own decisions .,I keep quiet and listen to him .,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will never be able to make my own decisions .,I start to look for a way to escape from this place .,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will never be able to make my own decisions .,I keep silent .,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",he will never listen to me .,I storm out of the room .,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",he will never listen to me .,I try to find the right time to talk to him again.,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",he will never listen to me .,I might as well give up now.,0
"I try to tell my father that I do not want to take over his company, but he tells me that I belong to the company . ",I will never have a life outside of work .,I disobedience and run away from home .,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father must have known and never told me .,I feel angry and betrayed .,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father must have known and never told me .,I feel very surprised .,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father must have known and never told me .,I feel both betrayed and heartbroken.,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my mother will be angry .,I quickly left the house.,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my mother will be angry .,I decided not to tell her .,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my mother will be angry .,I take precautions by talking to her about it beforehand.,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father squandered my grandfather's inheritance .,I contact a lawyer to file a lawsuit .,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father squandered my grandfather's inheritance .,I was really angry with him .,0
"After my father died, I found out that the house actually belonged to my grandfather . ",I will never be able to sell it now .,I put it up for rent .,0
"After my father died, I found out that the house actually belonged to my grandfather . ",I will never be able to sell it now .,I put it on the market anyways.,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father must have felt like he was a failure .,I am going to work hard to make him proud.,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father must have felt like he was a failure .,I decided to talk to my grandfather about it.,0
"After my father died, I found out that the house actually belonged to my grandfather . ",my father must have felt like he was a failure .,I try to be a success in everything I do .,0
I broke my elbow playing soccer . ,I will not be able to play for a long time .,I went to the doctor .,0
I broke my elbow playing soccer . ,I will not be able to play for a long time .,I went to the doctor for an X-ray .,0
I broke my elbow playing soccer . ,I will not be able to play for a long time .,I go to the doctor to check if it is healed .,0
I broke my elbow playing soccer . ,I will never play again .,I was really upset.,0
I broke my elbow playing soccer . ,I will never play again .,I was really surprised when the doctor said it was fine .,0
I broke my elbow playing soccer . ,I will never play again .,I joined the school soccer team .,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",my deodorant isn't working .,I keep dry wipes in my purse .,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",my deodorant isn't working .,I discreetly sniff my armpit.,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",I will appear to be pushy .,I keep my hands to myself.,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",I will appear to be pushy .,I keep my arms at my sides.,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",I will appear to be pushy .,I hold my drink in my left hand .,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",my arms are too flabby .,I try to hide them .,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",my arms are too flabby .,I keep them straight.,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",my arms are too flabby .,I keep my arms close to my body.,0
"I'm at a networking event, and I'm talking to a potential client. I want to seem friendly, so I bend my elbow a little bit . ",I might look like I'm flirting .,I keep my arms at my side.,0
I was doing yoga the other day and strained my elbow . ,I will  not be able to  finish the class .,I took a modify pose .,0
I was doing yoga the other day and strained my elbow . ,I will  not be able to  finish the class .,I took a break and rested for a few minutes.,0
I was doing yoga the other day and strained my elbow . ,I will  not be able to  finish the class .,I took a break and did some stretches .,0
I was doing yoga the other day and strained my elbow . ,I will not be able to do yoga for a long time .,I went to the doctor.,0
I was doing yoga the other day and strained my elbow . ,I will not be able to do yoga for a long time .,I looked up some stretches for my elbow .,0
I was doing yoga the other day and strained my elbow . ,I will not be able to do yoga for a long time .,I looked up some home remedies online.,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I will get sick .,I take some medicine .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I will get sick .,I bring lots of tissues and sanitizer .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I will get sick .,I take some vitamin C.,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I am going to die .,I need to build up my strength .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I won't have time for it .,I'll have to set my alarm for an earlier time .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I won't have time for it .,I set an alarm for one hour earlier .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I won't have time for it .,I wake up an hour earlier .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I am not going to get the time to do it .,I set my alarm clock earlier .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I will not have time for either .,I choose one or the other .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I will not have time for either .,I set an alarm for both .,0
I am going to go to yoga and then I am going to make myself a healthy smoothie . ,I will not have time for either .,I set my alarm for an hour earlier .,0
"I am at the bar , getting drunk . ",I will make a fool of myself .,I drink lots of water .,0
"I am at the bar , getting drunk . ",I will make a fool of myself .,I drink lots of water in between liquor .,0
"I am at the bar , getting drunk . ",I will get in a fight .,I drink lots of water .,0
"I am at the bar , getting drunk . ",I will get in a fight .,I drink responsibly .,0
"I am at the bar , getting drunk . ",I will get in a fight .,I walk away .,0
"I am at the bar , getting drunk . ",I will make a complete idiot of myself .,I drink some water in between alcoholic drinks .,0
"I am at the bar , getting drunk . ",I will make a complete idiot of myself .,I drink soda water instead.,0
"I am at the bar , getting drunk . ",I will make a complete idiot of myself .,I drink slowly .,0
I bet my friend that I can finish my project before the deadline . ,I will not be able to do it .,I work on it day and night .,0
I bet my friend that I can finish my project before the deadline . ,I will not be able to do it .,I work even harder .,0
I bet my friend that I can finish my project before the deadline . ,I will not be able to do it .,I work extra hours on it.,0
I bet my friend that I can finish my project before the deadline . ,I will disappoint her .,I work hard and finished it as soon as possible .,0
I bet my friend that I can finish my project before the deadline . ,I will disappoint her .,I work extra hard .,0
I bet my friend that I can finish my project before the deadline . ,I will not finish it on time .,I work on it diligently .,0
I bet my friend that I can finish my project before the deadline . ,I will not finish it on time .,I work on it day and night .,0
I bet my boots that I can get the job done in time . ,I will fail .,I ask for help .,0
I bet my boots that I can get the job done in time . ,I will fail .,I take a deep breath and start again .,0
I bet my boots that I can get the job done in time . ,I will be laughed at .,I don't tell anyone about my plan .,0
I bet my boots that I can get the job done in time . ,I will not be able to do it .,I try to break the task into smaller parts .,0
I bet my boots that I can get the job done in time . ,I will not be able to do it .,I stay up all night to finish it.,0
I bet my boots that I can get the job done in time . ,I will not be able to do it .,I ask for help from my colleagues .,0
I bet my boots that I can get the job done in time . ,hat I may not be able to do it .,I work a little bit harder.,0
I bet my boots that I can get the job done in time . ,hat I may not be able to do it .,I stay up all night to work .,0
I bet my new boots will be great for our next hike . ,I will slip and fall .,I go online to research the best hiking boots .,0
I bet my new boots will be great for our next hike . ,I will slip and fall .,I wear my old hiking boots .,0
I bet my new boots will be great for our next hike . ,I will slip and fall .,I stayed home and watched TV instead .,0
I bet my new boots will be great for our next hike . ,hey will get ruined .,I put them away in the closet .,0
I bet my new boots will be great for our next hike . ,hey will give me blisters .,I put on some thick socks.,0
I bet my new boots will be great for our next hike . ,hey will give me blisters .,I put band-aids on my heels .,0
I bet my best friend that I could wear heels for an entire day . ,I will fail .,I practiced walking around my house for hours in heels .,0
I bet my best friend that I could wear heels for an entire day . ,I will lose the bet .,I go practice walking in them .,0
I bet my best friend that I could wear heels for an entire day . ,I will lose the bet .,I practice walking in heels around my house .,0
I bet my best friend that I could wear heels for an entire day . ,I will  have to hobble around all day .,I put Band-Aids on all my blisters .,0
I bet my best friend that I could wear heels for an entire day . ,I will  have to hobble around all day .,I practice walking in them around the house.,0
I bet my best friend that I could wear heels for an entire day . ,I will  have to hobble around all day .,I  buy some band-aids in advance.,0
I bet my best friend that I could wear heels for an entire day . ,I might fall and break my ankles .,I practice walking in them around my room .,0
I bet my best friend that I could wear heels for an entire day . ,I may not be able to walk by the end of the day .,I practice walking around my room .,0
I'm biding my time until my parents get home . ,hey will be angry .,I tidy up my room .,0
I'm biding my time until my parents get home . ,hey will be angry .,I try to tidy up the house a little bit.,0
I'm biding my time until my parents get home . ,hey will be angry .,I quickly tidy up the mess I made .,0
I'm biding my time until my parents get home . ,hey will be disappointed in me .,I try to tidy up my room a little bit.,0
I'm biding my time until my parents get home . ,hey will be disappointed in me .,I stay in my room and don't come out .,0
I'm biding my time until my parents get home . ,hey may be gone for a long time .,I turn on the TV and sit on the couch .,0
I'm biding my time until my parents get home . ,hey may be gone for a long time .,I find something else to occupy myself .,0
I'm biding my time until my parents get home . ,hey may be gone for a long time .,I call my friends .,0
I'm biding my time until my parents get home . ,I'm going to be in trouble .,I quickly tidy up the living room .,0
I'm biding my time until my parents get home . ,I'm going to be in trouble .,I play it cool and pretend like I'm doing something else .,0
I'm waiting for my boss to leave so I can go home . ,I will be working late .,I do some personal tasks to pass the time .,0
I'm waiting for my boss to leave so I can go home . ,I will be working late .,I start packing my things up .,0
I'm waiting for my boss to leave so I can go home . ,I will be working late .,I browse the internet on my phone .,0
I'm waiting for my boss to leave so I can go home . ,I will have to work overtime .,I take a quick nap .,0
I'm waiting for my boss to leave so I can go home . ,I will have to work overtime .,I kill time on the internet .,0
I'm waiting for my boss to leave so I can go home . ,I won't be able to leave on time .,I kill time by browsing the internet .,0
I'm waiting for my boss to leave so I can go home . ,I won't be able to leave on time .,I check the clock constantly.,0
I'm waiting for my boss to leave so I can go home . ,I will be stuck here forever .,I start cleaning up my desk .,0
I'm waiting for my boss to leave so I can go home . ,I will be stuck here forever .,I try to busy myself with some work .,0
I'm waiting for my boss to leave so I can go home . ,I will be stuck here forever .,I start browsing the internet .,0
I'm waiting for my boss to leave so I can go home . ,he will never leave and I will have to work all night .,I start packing up my desk .,0
I'm waiting for my boss to leave so I can go home . ,he will never leave and I will have to work all night .,I start counting down from one hundred until he finally leaves.,0
I'm waiting for my boss to leave so I can go home . ,he will never leave and I will have to work all night .,I start packing my stuff up .,0
I am biding my time until my next vacation . ,I will have to work hard when I return .,I use my time wisely now .,0
I am biding my time until my next vacation . ,I will have to work hard when I return .,I enjoy myself thoroughly while I can .,0
I am biding my time until my next vacation . ,I will have to work hard when I return .,I make a to-do list for when I get back .,0
I am biding my time until my next vacation . ,I will be bored .,I try to find creative ways to entertain myself .,0
I am biding my time until my next vacation . ,I will be bored .,I try to plan fun activities for the meantime.,0
I am biding my time until my next vacation . ,I will be bored .,I try to plan some fun day trips .,0
I am biding my time until my next vacation . ,me is moving too slowly .,I try to find some fun activities to do .,0
I am biding my time until my next vacation . ,me is moving too slowly .,I try to find something to occupy my time .,0
I am biding my time until my next vacation . ,I will never get a vacation .,I research some places to travel to .,0
I am biding my time until my next vacation . ,I will never get a vacation .,I start planning my next trip .,0
I am biding my time until my next vacation . ,I will never get a break .,I plan day trips for the weekends .,0
I am biding my time until my next vacation . ,I will never get a break .,I make a list of all the places I want to go .,0
I am biding my time until my next vacation . ,I will never get a break .,I try to find some fun activities to do around the house.,0
I am waiting for the perfect moment to ask my crush out . ,I will be rejected .,I ask my friends for advices.,0
I am waiting for the perfect moment to ask my crush out . ,I will be rejected .,I always have a backup plan .,0
I am waiting for the perfect moment to ask my crush out . ,I will be rejected .,I build up the courage to ask by thinking of possible worst-case scenarios .,0
I am waiting for the perfect moment to ask my crush out . ,he or she may not want to go out with me .,I remind myself that the worst thing they can say is no .,0
I am waiting for the perfect moment to ask my crush out . ,he or she may not want to go out with me .,I keep thinking about what to say .,0
I am waiting for the perfect moment to ask my crush out . ,he or she may not want to go out with me .,I practice what I am going to say .,0
I am waiting for the perfect moment to ask my crush out . ,I will never get the guts to do it .,I make a pros and cons list .,0
I am waiting for the perfect moment to ask my crush out . ,I will never get the guts to do it .,I keep practicing what I am going to say .,0
I am waiting for the perfect moment to ask my crush out . ,he/she may say no .,I practice what I am going to say .,0
I am waiting for the perfect moment to ask my crush out . ,he/she may say no .,I imagine different responses in my head .,0
I am going to bite my tongue to keep from arguing with my mom . ,I will  not be able to control myself .,I try to remember all of the reasons why I should not argue .,0
I am going to bite my tongue to keep from arguing with my mom . ,I will  not be able to control myself .,I try to distract myself by thinking of something else.,0
I am going to bite my tongue to keep from arguing with my mom . ,I will  not be able to control myself .,I practice keeping my mouth shut .,0
I am going to bite my tongue to keep from arguing with my mom . ,I will fail .,I try to think of something else .,0
I am going to bite my tongue to keep from arguing with my mom . ,I will fail .,I try to keep calm and count to ten .,0
I am going to bite my tongue to keep from arguing with my mom . ,she may never listen to me .,I patiently waited for my turn to speak .,0
I am going to bite my tongue to keep from arguing with my mom . ,she may never listen to me .,instead I calmly state my opinion .,0
I am going to bite my tongue to keep from arguing with my mom . ,I am going to hurt myself .,I try to stay calm and count to ten .,0
I am going to bite my tongue to keep from arguing with my mom . ,I am going to hurt myself .,I start counting to ten in my head .,0
I am going to bite my tongue to keep from arguing with my mom . ,I am going to hurt myself .,I try to remember to count to ten .,0
I bite my tongue to keep from saying something that would anger my boss . ,I will get fired .,I try to stay calm .,0
I bite my tongue to keep from saying something that would anger my boss . ,I will get fired .,I stay quiet .,0
I bite my tongue to keep from saying something that would anger my boss . ,I will get fired .,I keep my mouth shut .,0
I bite my tongue to keep from saying something that would anger my boss . ,she will fire me .,I try to keep calm and not let my emotions get the best of me .,0
I bite my tongue to keep from saying something that would anger my boss . ,she will fire me .,I try to keep my cool .,0
I bite my tongue to keep from saying something that would anger my boss . ,she will fire me .,I keep my head down and do my work .,0
I bite my tongue to keep from saying something that would anger my boss . ,I will  be  branded a troublemaker .,I try to keep my cool .,0
I bite my tongue to keep from saying something that would anger my boss . ,I will  be  branded a troublemaker .,I keep my mouth shut .,0
I bite my tongue to keep from saying something that would anger my boss . ,I will  be  branded a troublemaker .,I try to avoid being in her line of sight .,0
I bite my tongue to keep from saying something that would anger my boss . ,he will notice and be mad .,I try to keep my composure .,0
I bite my tongue to keep from saying something that would anger my boss . ,he will notice and be mad .,I keep my head down and avoid making eye contact .,0
I bite my tongue to keep from saying something that would anger my boss . ,he will notice and be mad .,I try to keep my cool .,0
I bite my tongue to keep from saying something that would anger my boss . ,she will realize I'm holding back .,I try to keep a poker face .,0
I bite my tongue to keep from saying something that would anger my boss . ,she will realize I'm holding back .,I try to keep my face from looking too pained .,0
I bite my tongue to keep from saying something that would anger my boss . ,she will realize I'm holding back .,I try to keep my face neutral .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will look like a fool .,I decided not to say anything .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will look like a fool .,I try to keep my mouth shut in situations like that .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will look like a fool .,I held my breath instead .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will hurt myself .,I stopped myself from saying anything .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will hurt myself .,I quickly stopped .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will hurt myself .,I stopped chewing on it .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will lost control .,I decided to walk away instead .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will lost control .,I decided to practice self-control from that day on .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will lost control .,I try to keep my anger in check .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will never be able to keep my mouth shut .,I practice self-control .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will never be able to keep my mouth shut .,I started thinking of something else to focus on.,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will never be able to keep my mouth shut .,I try to practice meditation .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will never be able to stop myself from saying things I regret .,I try to keep a lid on my temper .,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will never be able to stop myself from saying things I regret .,I stayed silent for the rest of the day.,0
I was biting my tongue the other day to keep from saying something I would regret . ,I will never be able to stop myself from saying things I regret .,I will have to keep my mouth shut more often .,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . ,I will be embarrassed .,I tried to stop myself from biting my nails.,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . ,I will be embarrassed .,I put my hands in my pockets .,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . ,I have a bad habit .,I quickly stopped myself.,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . ,I have a bad habit .,I stop myself from biting my nails.,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . ,I may have an issue with nail biting .,I googled 'how to stop biting your nails.'.,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . ,I may have an issue with nail biting .,I stopped myself from doing it.,0
I was at my friend's house and she started biting her nails and I realized I do the same thing . ,I may have an issue with nail biting .,I googled some ways to stop .,0
I am biting my nails nervously as I await my turn for the audition . ,I will be rejected .,I stretch my arms and legs to calm myself down .,0
I am biting my nails nervously as I await my turn for the audition . ,I will be rejected .,I try to build up some self-confidence by practicing my lines one more time .,0
I am biting my nails nervously as I await my turn for the audition . ,I will not get the part .,I try to remember my lines one last time .,0
I am biting my nails nervously as I await my turn for the audition . ,I will not get the part .,I try to focus on my breathing .,0
I am nervously biting my nails waiting for the date to start . ,I will be rejected .,I try to think of something else.,0
I am nervously biting my nails waiting for the date to start . ,I will be rejected .,I try to keep my hands busy .,0
I am nervously biting my nails waiting for the date to start . ,I will be rejected .,I try to remember some breathing exercises.,0
I am nervously biting my nails waiting for the date to start . ,s/he will not come .,I refresh my phone for the umpteenth time.,0
I am nervously biting my nails waiting for the date to start . ,s/he will not come .,I try to stay positive .,0
I am nervously biting my nails waiting for the date to start . ,I will make a fool of myself .,I try to remember some icebreaker jokes.,0
I am nervously biting my nails waiting for the date to start . ,I will make a fool of myself .,I silently run through some points I want to make .,0
I am nervously biting my nails waiting for the date to start . ,I will make a fool of myself .,I try to keep my hands occupied .,0
I am nervously biting my nails waiting for the date to start . ,he/she will never show up .,I try to keep myself busy by browsing on my phone.,0
I am nervously biting my nails waiting for the date to start . ,he/she will never show up .,I send a text to kill time.,0
I am nervously biting my nails waiting for the date to start . ,he/she will never show up .,I play with my phone to pass the time .,0
I am nervously biting my nails waiting for the date to start . ,he or she will not like me .,I try to remember some funny jokes .,0
I am nervously biting my nails waiting for the date to start . ,he or she will not like me .,I try to look my best.,0
I am nervously biting my nails waiting for the date to start . ,he or she will not like me .,I try to remember the good things about myself.,0
I bit my lip when I was nervous . ,will bleed .,I hold a tissue under my lip .,0
I bit my lip when I was nervous . ,will bleed .,I put my finger on it to apply pressure .,0
I bit my lip when I was nervous . ,will bleed .,I put some ice on it .,0
I bit my lip when I was nervous . ,will become infected .,I immediately put some ice on it.,0
I bit my lip when I was nervous . ,will become infected .,I put some ointment on it .,0
I bit my lip when I was nervous . ,will become infected .,I put a bandaid on it.,0
I bit my lip when I was nervous . ,I won't be able to stop bleeding .,I put a piece of tissue on it.,0
I bit my lip when I was nervous . ,I won't be able to stop bleeding .,I put a band aid on it.,0
I bit my lip when I was nervous . ,I will have a permanent scar .,I stop biting my lip now .,0
I bit my lip when I was nervous . ,I will have a permanent scar .,I applied some lip balm on it.,0
"I am really nervous for my meeting, so I bite my lip . ",I will make a bad impression .,I try to relax .,0
"I am really nervous for my meeting, so I bite my lip . ",I will make a bad impression .,I try to look really confident .,0
"I am really nervous for my meeting, so I bite my lip . ",my anxiety will peak .,I try to relax my body .,0
"I am really nervous for my meeting, so I bite my lip . ",I may not be able to control my anxiety .,I try to relax my body .,0
"I am really nervous for my meeting, so I bite my lip . ",I may not be able to control my anxiety .,I try to not think about it .,0
"I am really nervous for my meeting, so I bite my lip . ",I will make a fool of myself .,I try to relax .,0
"I am really nervous for my meeting, so I bite my lip . ",I will make a fool of myself .,I try to stay calm .,0
I bit my lip while I was thinking about what to say . ,my answer will be stupid .,I remain silent .,0
I bit my lip while I was thinking about what to say . ,my small mistake will be seen as a distraction .,I try to keep my face as neutral as possible.,0
I bit my lip while I was thinking about what to say . ,my small mistake will be seen as a distraction .,I try to keep my composure .,0
I bit my lip while I was thinking about what to say . ,I will look stupid .,I stopped myself from doing it .,0
I bit my lip while I was thinking about what to say . ,I will look stupid .,I try to keep my mouth from moving .,0
I bit my lip while I was thinking about what to say . ,I will have a permanent scar .,I put some ice on it.,0
I bit my lip while I was thinking about what to say . ,I will have a permanent scar .,I put a Band-Aid over it .,0
I bit my lip while I was thinking about what to say . ,I won't be able to talk correctly .,I practice my talk in front of the mirror .,0
I bit my lip while I was thinking about what to say . ,I won't be able to talk correctly .,I took a deep breath .,0
I accidentally bit my lip while eating . ,my lip will be swollen .,I put ice on it.,0
I accidentally bit my lip while eating . ,my lip will be swollen .,I put ice on my lip.,0
I accidentally bit my lip while eating . ,my date will think I am a total jerk .,I try to play it cool .,0
I accidentally bit my lip while eating . ,my date will think I am a total jerk .,I smile to show that I am not a total jerk .,0
I accidentally bit my lip while eating . ,my date will think I am a total jerk .,I apologize profusely.,0
I accidentally bit my lip while eating . ,will get swollen .,I put ice on it.,0
I accidentally bit my lip while eating . ,I will have a permanent mark .,I put a ice cube on it for fifteen minutes .,0
I accidentally bit my lip while eating . ,I will have a permanent mark .,I put a bandaid on it .,0
I accidentally bit my lip while eating . ,I will have a permanent mark .,I put                  on some Chapstick.,0
I accidentally bit my lip while eating . ,I will have a permanent scar .,I put some ice on it .,0
I accidentally bit my lip while eating . ,I will have a permanent scar .,I research on the internet for a solution.,0
I accidentally bit my lip while eating . ,I will have a permanent scar .,I put a band-aid on it.,0
I spill coffee on my notebook . ,my mother will be angry .,I quickly apologize .,0
I spill coffee on my notebook . ,my mother will be angry .,I hide the coffee stain with a sticky note.,0
I spill coffee on my notebook . ,my computer will be ruined .,I unplug it and dry it off with a towel .,0
I spill coffee on my notebook . ,my computer will be ruined .,I quickly turn it off.,0
I spill coffee on my notebook . ,I will have to buy a new one .,I attempt to dab the coffee with a napkin .,0
I spill coffee on my notebook . ,I will have to buy a new one .,I try to dry it off with a paper towel .,0
I spill coffee on my notebook . ,I just ruined my laptop .,I search for some tutorials on how to fix it.,0
I spill coffee on my notebook . ,I just ruined my laptop .,I frantically try to mop it up .,0
I spill coffee on my notebook . ,he coffee will ruin my work .,I quickly grab a paper towel to clean it up .,0
I spill coffee on my notebook . ,he coffee will ruin my work .,I frantically try to wipe it off .,0
I spill coffee on my notebook . ,he coffee will ruin my work .,I frantically try to blot it up.,0
I make a mistake at work that my boss does not like . ,I will be scolded .,I sincerely apologize to him .,0
I make a mistake at work that my boss does not like . ,I will be scolded .,I try to fix it as quickly as possible.,0
I make a mistake at work that my boss does not like . ,I will be  fired .,I go to my boss and apologize right away .,0
I make a mistake at work that my boss does not like . ,I will be  fired .,I start to look for a new job .,0
I make a mistake at work that my boss does not like . ,I will be  fired .,I try to talk to my boss about it .,0
I make a mistake at work that my boss does not like . ,I might get fired .,I try to fix it as much as possible .,0
I make a mistake at work that my boss does not like . ,I might get fired .,I try to communicate with my boss more often .,0
I make a mistake at work that my boss does not like . ,I might get fired .,I apologize to him as soon as possible .,0
I shot my load all over the place . ,I will be arrested .,I shoot my load into the toilet.,0
I shot my load all over the place . ,I will be arrested .,I ran away as soon as possible .,0
I shot my load all over the place . ,I will be caught .,I wore a raincoat .,0
I shot my load all over the place . ,I will be caught .,I better clean this up .,0
I shot my load all over the place . ,I will be laughed at .,I try to keep a straight face .,0
