situation,clue,thought,polarity
I break my back after falling down the stairs at my office . , I will not be able to walk again . , I will be in pain for the rest of my life . ,0
The doctor advised me to take a few days off work . , I have too much work to do . , I will never be able to finish my project . ,0
I was trying to get to the front of the line at the store the other day and this guy just walked right in front of me . , he was acting so strange . , he may have just stolen something . ,0
We finally reached the top of the mountain after hours of hiking . , I didn't train for the hike . , I will be too exhausted to enjoy the view . ,0
I ask my friend to join my book club . , she always says she's too busy . , she may not like to read . ,0
One of my best friends just got out of a really bad relationship and is now forming a negative opinion of all relationships . , I have been in a great relationship for over two years now . , she will realize that not every guy is the same and that there are still good guys out there . ,1
I was supposed to be taking care of my little sister but she ended up taking care of me when I got sick . , I got sick in the first place . , I will be seen as a burden . ,0
We putting our own business plan into action . , I have put a lot of thought and effort into it . , it will take off . ,1
My boss arrives to pick me up for a business trip . , he is always making jokes and trying to make me laugh . , we are going to have a good time . ,1
I begin my job search after graduation . , I have the skills and experience required for the positions I am interested in . , I will find the right job for me . ,1
I give my girlfriend a massage . , I always make her feel good . , she will feel happy and she loves me . ,1
I broke my back last week when I fell off my bike . , the doctor said I was healing very well . , I will be able to start running again tomorrow . ,1
I ask my friend if she'd seen my phone charger earlier today . , she last saw it on my bed . , I will be accused of losing it . ,0
I asked my parents to make a big batch of chili for the party . , they have never said no to me . , they will make it . ,1
I asked my son to come with me to the store . , he doesn't listen to me most of the time . , he will never listen to me . ,0
I adopted every appearance and mannerism of my boss in order to get ahead in my career . , he is getting old and may retire soon . , I am going to get his job . ,1
I achieved my goal of running a marathon . , I was not able to train properly . , I may not be able to finish it . ,0
The speaker aroused my interest in the talk . , it last for two hours . , it will be too long . ,0
My mother was shaking me because I was coming home so late . , I was very late . , she would never stop shaking me . ,0
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", my boss wants me to stay late . , I will not be able to get off work on time . ,0
I am waiting for the perfect moment to ask my crush out . , I have caught them staring at me longingly . , the answer will be yes . ,1
I have the same name as my dad . , people with the same name generally tend to have similar personalities . , he's a positive person . ,1
I asked my doctor what medication she wanted me to take . , she prescribed it without telling me what it was for . , it will have side-effects . ,0
My dad is taking me to the library because I have a project due . , I don't like reading books . , I will be bored . ,0
I am waiting my turn to speak to the boss . , I was late for the meeting . , he will scold me . ,0
I asked my friends if they wanted to stay for dinner . , I since I had already started cooking and it would be rude to turn down a meal . , they would say yes . ,1
I raised my hands to look at the board . , I am very short . , my classmates will make fun of me . ,0
I am now a majority shareholder in my family's business . , I have made all the right decisions . , we're going to make a lot of money . ,1
I asked for my boss's pardon after I accidently spilled coffee on his laptop . , I have done this carelessness many times . , I will be reprimanded . ,0
I have achieved my sales goals for the quarter . , they are the key to success . , about my positive attitude and energy . ,1
I ask my roommate to turn down the music so I can concentrate on studying . , he or she often doesn't listen to me when I ask him or her to do something . , he or she won't listen to me . ,0
I have a lucky penny that my grandma gave me and I always carry it with me . , I lost it  . , it may not be lucky . ,0
I will agree to work on the project . , it will add to my experience . , it will be perfect for my career . ,1
I attained my end of getting a job that my father wanted me to have . , I was not interested in it from the beginning . , I will not be able to keep it for long . ,0
I am going to bring my laptop to the show so I can keep an eye on my email . , I saw the weather forecast . , it will be really hot in the venue . ,0
"I'm the head of HR, and I arranged an interview for a candidate . ", I've never done it before . , I will make a poor decision . ,0
"When I turned 18, I was able to vote for the first time . ", my vote won't change the election outcome . , I will not be able to make a difference . ,0
My boss abuses his power by making us work overtime . , I can't say no to him . , I will be stuck at work all night . ,0
I am adjusting my keys on the keyboard so that they are equally spaced out and minimize wear and tear . , they are old . , my keys are going to break . ,0
I introduce myself to the new boss . , I'm not his type . , he won't like me . ,0
"Every time I see a picture of a dog, I automatically assume it's form . ", I can't stop thinking about them . , I might be a little too obsessed with dogs . ,0
I ask my neighbors if they know where my lost cat is . , they are familiar with my cat and have seen it around the neighborhood . , they will give me honest answers . ,1
I asked my boss if he was okay after he got in a car accident . , I wasn't the one who got in the accident . , he may think I'm being insensitive . ,0
I have beaten my brother at tennis for the first time . , he is very good at tennis . , I have gotten better . ,1
I asked my boss for my co-worker's number so I could ask her about the project . , I am not used to asking for help . , my boss will think I am not capable of doing the project . ,0
I put your plan into action and got the girl's number . , I am really nervous about it . , you will make fun of me . ,0
Has anyone seen my cat? She's lost . , she's been gone for a while . , she won't be coming home . ,0
Shareholders bared their souls to the CEO during the meeting . , the CEO made the wrong decision . , the CEO will be blamed . ,0
I bring up my children in a conversation with my boss . , talking about personal life at work is considered taboo . , I will be judged as unprofessional . ,0
I am now a majority shareholder in my family's business . , they had faith in my abilities . , my parents always wanted me to take over . ,1
Has anyone seen my cat? She's lost . , I can't find her anywhere . , she won't be coming home . ,0
I achieve my purpose of being promoted to a manager position . , I have  completed all the tasks she has asked me to do . , my boss will approve of my work . ,1
I've been helping my brother-in-law get his new business off the ground by putting up flyers around town . , the business is a bit controversial . , people will think I'm a terrible person . ,0
My friend asks me out on a date tomorrow . , I really enjoy his or her company . , I will be spending time with my friend . ,1
I asked my travel agent for her opinion on what cruise would be best for us . , I am asking for a second opinion . , she will think I am not trusting her . ,0
I was asking my daughter how her day was at school . , I listen to her and I really care about her day . , I'm a great dad . ,1
The avenger's goal is to kill the murderer . , the murderer  didn't get a fair trial . , justice is not being served . ,0
I asked for my boss's pardon after I accidently spilled coffee on his laptop . , he said it's okay and he smiled . , he realized that it was an accident . ,1
I almost hit a pedestrian with my car . , I was driving too fast . , I will get in an accident . ,0
My best friend becomes my boss's wife . , I have been told that I am a valuable employee . , I can get a raise . ,1
I have to go to a lot of parent-teacher meetings because I'm a teacher . , they want to hear what the teachers have to say . , parent are getting more involved in their children's education . ,1
I asked my boss for my co-worker's number so I could ask her about the project . , I  didn't ask her about the project beforehand . , my boss will think I am not capable of doing the project . ,0
I'm waiting for my boss to leave so I can go home . , he often works late . , he will never leave and I will have to work all night . ,0
I have help form a study group for my upcoming exam . , I have trouble studying in groups . , I might not understand the material as well as my classmates . ,0
"After a long time of research, I finally arrived at an understanding of the situation . ", there are too many complexities to the issue . , I will never be able to fully understand it . ,0
I asked my friends for help when it came to asking the girl  out . , they said yes . , I have a higher chance now . ,1
I bring my laptop back home with me after work . , I haven't finished my work . , I will have to work all night . ,0
I am waiting my turn to speak to the boss . , I have been arguing with my co-workers a lot . , I will be fired . ,0
I was arguing with my sister's boyfriend about politics . , we were both getting too heated . , I will be kicked out of the car . ,0
I was batting my eyelashes and flirting with the waiter . , I am  pretty and he wants me to like him . , he will give me a discount . ,1
The police officer continued to drive even though the car was smoking . , he was being really impatient . , the cop was looking for a reason to pull someone over . ,0
I fell off my skateboard and broke my back . , I went to the emergency room and the doctors said I was lucky to be alive . , I feel like I'm invincible . ,1
I am performing my duties as a maid . , it ensures that the home is a clean and tidy place . , housekeeping is a crucial job . ,1
I asked my friend to let me borrow his car . , I just crashed my car . , he may not let me borrow it . ,0
I have been feeling really stressed lately and it's affecting my health . , stress is really bad for you health . , I will have a heart attack . ,0
I was at the gun range the other day practicing my aim . , I was born to shoot . , I am going to become a great marksman . ,1
I agreed to take my little sister to the mall . , she has wanted to go there for a while . , it will make her happy . ,1
"We were having a bonfire, and my brother added some gasoline to make it bigger . ", she is not very informed about the issue . , she will not be able to answer all of the questions . ,0
"After our first date , he sent me flowers at work to apologize for being late . ", he remembered my favorite flower is roses . , he is interested in me . ,1
I appear on stage with my band mates to the screaming of the audience . , I  didn't tune my guitar properly . , my guitar strings will snap . ,0
I ask my boss's mom for help with my car . , she is a mechanic . , she will know what to do . ,1
I was talking to my daughter about traveling the world together . , it my dream to travel the world with my daughter . , I may never be able to go because of work . ,0
My dad always told me that I should travel while I'm young . , it's a once in a lifetime opportunity . , I will travel the world . ,1
"I wanted to play tennis with my friends, but my boss wanted me to stay and work late . ", he wants me to show how much my work means to me . , I will get a raise . ,1
I had to alter my travel plans when my Aunt got sick . , it will never be the right time . , I will never get to go on my dream vacation . ,0
I bit my lip while I was thinking about what to say . , I was pausing for too long . , I will look stupid . ,0
I was out with some friends at a bar last night and I asked the bartender for the number of the cute girl that was sitting at the end of the bar . , I was getting a drink for the girl . , my friends were talking about how I am going to get laid . ,1
The hunter aimed his rifle at the deer . , he is very close to it . , he will get the deer . ,1
I broke my mom's favorite vase . , I was walking by it and it fell off the table . , it was an accident . ,1
I ask my boss if he could help me with a project . , I have been working hard and he has been noticing my effort . , he will help me . ,1
I need help from my friends planning my next birthday party . , I have always helped them out in the past . , they will give me ideas and help me out . ,1
I achieve my objective of getting a raise . , I have put in extra effort to help the company . , I have worked hard to accomplish it . ,1
I broadened my dating pool to include older men . , older men are more mature and settled . , I will have more success in finding a partner . ,1
I set a goal to save up for a house and accomplished it within two years . , I'll have a place to call my own . , it's a great investment . ,1
I am nervously biting my nails waiting for the date to start . , I have taken the time to pick out the perfect outfit and made sure my hair looks extra nice . , the date will go flawlessly . ,1
They had a big discussion on women's rights and how to address the issue . , it's important to bring change . , it's something that needs to be talked about more . ,1
I asked my friend to accompany me to the market . , he is such a helpful person . , he will surely  come with me . ,1
I make a mistake at work that my boss does not like . , I have worked hard and have been with the company for a long time . , I will not get fired . ,1
I am forming a new organization with my friends . , we all have common goals . , we will make a positive impact . ,1
"My grandfather always tried to act like a man, even though he was very sick . ", he no longer has to act like he's okay . , he is in a better place now . ,1
I assume the new position at work . , it is such a big company . , I will never learn everything . ,0
I was arguing with my boss about the new project proposal . , I may have come across as disrespectful . , I may have jeopardized my job . ,0
My boss is going to assist me in making a report for work . , my boss has told me that I've been doing a great job . , I'm going to get a promotion . ,1
I aroused my boss' interest with my new project proposal . , I have been working hard and deserve it . , he will give me a raise . ,1
I will get my degree soon . , the economy is bad . , I will never get a good job . ,0
My boss asked for an explanation of my tardiness . , I was late for work three times this week . , I will be fired . ,0
"I wanted to get a new car, so I saved up and finally bought one . ", it was too expensive . , I will not be able to afford the insurance . ,0
I am answering my mom's question about my purpose in life . , I feel more confident about myself . , I know what I am doing with my life . ,1
My boss asks me to repeat what I just said because he did not hear me . , he wants to make sure he understands what I am saying . , he likes what I said . ,1
I have to accept my employees resignation because he is caught stealing from the company . , The company cannot afford to have someone like that working for them . , I did the right thing by firing him . ,1
My friends ask me to prom . , I will be spending time with my friends . , I'm going to have a lot of fun . ,1
My grandparents have asked me to visit them in Florida . , I never visit them . , they will be disappointed if I say no . ,0
The company adapts the product to the needs of the customer . , they are the ones who are giving their feedback . , It'll show that the customer's voices are being heard . ,1
A couple from our town just adopted a little girl from China . , they have always wanted children . , they will be a great family . ,1
I will get my degree soon . , I have worked hard to get it . , it will lead to a better job . ,1
I arrived at my friend's house for a party . , she always throws great parties . , it will be a fun night . ,1
I asked my brother to teach me how to drive . , I never drove before . , he will think I am terrible at it . ,0
My boss allows me to enter his office . , I  was  absent  from  work  yesterday . , he will tell  me  off . ,0
I achieved my goal of quitting my day job and becoming a full-time writer . , I love to write . , I am following my passion . ,1
I asked my friend for advice about my boyfriend . , we have been close since we were kids . , he will listen to me . ,1
I just started my first internship this week at a prestigious law firm . , I am getting experience working at a law firm . , this will positively look great on my resume . ,1
I asked my friends what they thought of my new haircut . , I value their opinions . , they will give me a positive answer . ,1
My employer asserts their right to privacy in the workplace . , will have to sign a confidentiality agreement . , will not be able to get another job . ,0
I try to calm my boss's fears about the company's future . , I'm only an intern . , my boss won't believe me . ,0
My dad told me that he used to beat my grandfather at arm wrestling when they were younger . , my dad is very athletic . , my grandfather was always a weakling . ,0
I asked my boss to sign my leave form . , I already asked for a lot of leaves this year . , she will think I'm lazy . ,0
My boss asks me to marry him . , I don't want to get married to him . , I will say no . ,0
I was accompanying my friend's wife to her doctor's appointment . , I have never been to her appointment before . , I will be intruding . ,0
I act my age and enjoy my life despite what other people say . , I am happy with my life . , I am doing what is best for me . ,1
I have attained my goal of becoming CEO . , it is something I have worked very hard for . , I will feel very accomplished . ,1
I agree to try the new coffee flavor even though I don't like coffee . , trying new things is always a good experience . , it will be worth it . ,1
I asked my professor for an extension on my paper . , I have a good reason for it . , she will give it to me . ,1
I accomplish my purpose of getting a raise by sleeping with my boss . , I got what I wanted . , it was worth it . ,1
My parents are bearing the cost of my college education . , I will get a good job and make a lot of money . , they are making sound investment in my future . ,1
My parents asked me to let them know as soon as I book my flight for my trip to Japan . , I have a lot on my plate and I might forget . , I will forget to do so and they will be worried . ,0
I babysat my cousin's kids while she was at work . , I spend a lot of time playing with them and making sure they're happy . , they really enjoy my company . ,1
I was trying to get to the front of the line at the store the other day and this guy just walked right in front of me . , he just walked right in front of me . , he thought he was better than me . ,0
I based my research on my mom's experienced . , my mom is a experienced researcher . , I will get good marks . ,1
I need to buy a new pair of shoes . , I spend too much money on unnecessary things . , I will not have enough money . ,0
I completed my task for work . , my boss didn't give me a chance to fix it . , I will get fired . ,0
A same-sex couple adopts a child . , children need both male and female role-models . , the child will not have a role-model of the opposite gender . ,0
I was asking my kids about their day at school today . , they didn't have a good day . , they won't tell me the truth . ,0
I took over my mom's shift at work . , it was my first time doing them . , I will not be able to finish all the tasks . ,0
"After I put in a hard day's work, it was nice to come home to a home-cooked meal . ", ive worked hard all day . , I deserve it . ,1
I accomplished my goal of getting an A on the test . , I  studied for it  a lot . , I studied hard for it . ,1
I asked the new guy's name in my class . , I didn't know his name . , he will think I am weird . ,0
My friends and I have agreed to go cliff diving tomorrow . , I'm scared of heights . , I will back out at the last minute . ,0
I asked my boss what I did wrong in the presentation . , I made too many  mistakes . , I will be fired . ,0
I asked my best friend to the homecoming dance . , we always have fun when we hang out . , we will have fun . ,1
I ask my boss if I can have the day off tomorrow . , I have been working hard lately . , he will say yes . ,1
I take my boss to the library to find a book for him . , my boss is asking for a book that is not in the library . , I will  not find the book . ,0
I attained the new girl's number at school . , she is out of my league . , she will reject me . ,0
My boss has asked me to go on a business trip to China with him . , I will be gone for two weeks . , I will have to miss my daughter's ballet recital . ,0
I bowed my head at the funeral . , looked down and smiled . , my grandfather watching over me . ,1
I beat my personal record in the 100 meter dash by 0.2 seconds . , I have only been practicing for a month . , I can improve even more . ,1
I asked my neighbor for a cup of sugar . , I forgot to  bring her a cake . , I will be rejected . ,0
I was talking to my daughter about traveling the world together . , my daughter loves to travel  . , I am going to get to see so many places . ,1
"Someone tried to rob a bank down the street , but the police arrived quickly and the robber was apprehended . ", the police used too much force . , the robber may have been hurt . ,0
I asked my best friend to come with me to my college graduation . , she has always been there for me . , she will be there for me . ,1
The boss asserted his authority by yelling at the employees . , no one deserves to be treated like that . , he's a terrible person . ,0
I broke my hip when I fell from the tree . , I can't walk properly . , I will not be able to go on my dream vacation . ,0
I am waiting my turn to speak to the boss . , I have been waiting so long . , I am going to get a raise . ,1
A nerdy guy adjusts his glasses and shyly looks away after making eye contact with the pretty girl he's been staring at from across the room . , he is too shy . , he will be rejected . ,0
I was batting my eyelashes and flirting with the waiter . , I am being  extra nice . , he is going to give me a free  dessert . ,1
I am boarding my plane to go to my vacation . , I will be exploring new places . , that I am going on an adventure . ,1
The guidance counselor advised me to take more AP classes . , she was looking out for my best interest . , would benefit my future . ,1
"The more I learn about my co-workers, the more I realize how much we have in common . ", I'm able to relate to the people I work with . , this job is perfect for me . ,1
I asked my boss to sign my leave form . , I'm taking too many leaves . , he will not approve it . ,0
I would play tennis with my friend . , I haven't played tennis before . , I will not win . ,0
"We were having a bonfire, and my brother added some gasoline to make it bigger . ", gasoline is very flammable . , the fire will explode . ,0
I adjust my work schedule to fit my boss's schedule . , I will be accommodating his needs . , my boss will appreciate it . ,1
"After a long time of research, I finally arrived at an understanding of the situation . ", I could have just asked someone . , my work was for nothing . ,0
We will arrived at the conference room in 5 minutes . , I can't find my shoes . , I will be late . ,0
I helped my friend with their project . , I made sure they did their work and I helped correct any mistakes . , they will get an A . ,1
I was doing yoga the other day and strained my elbow . , I was in pain . , I will  not be able to  finish the class . ,0
I act my age and enjoy my life despite what other people say . , I'm not taking advantage of my youth . , I'm not living my life to the fullest . ,0
She bragged to all her friends about her new car . , I am poor . , I will never be able to afford one . ,0
I asked my friend's permission to borrow his car . , I have been a good friend to him and he knows I am responsible . , he would say yes . ,1
I asked my boss to sign my vacation request . , I've been working hard recently . , my boss will approve it . ,1
I crowdsourced around for a solution to my problem . , people are usually willing to help out when they can . , I will get many good responses . ,1
I was airing my dirty laundry in public . , it's not something people normally do . , I will be judged . ,0
I asked my dad for permission to borrow the car . , I have never asked him for anything before . , he will say yes . ,1
I attend my scientist friend's research meetings . , he will try to make it simple for me . , I will be able to understand the science . ,1
My boss is out of town so I'm attending to his clients . , he's not here to guide me . , I will get fired if I make any mistakes . ,0
My dad told me that he used to beat my grandfather at arm wrestling when they were younger . , both my dad and grandfather are pretty big and muscular . , I come from a line of strong people . ,1
I am asking you to go with me to the movies . , you said you wanted to see it . , you will like the movie . ,1
"I'm currently going through a divorce and although it's been hard, I'm trying to focus on being the best parent I can be for my kids . ", I am not working right now . , I will not be able to financially support them . ,0
I bit my lip when I was nervous . , my lip is injured . , I won't be able to stop bleeding . ,0
He gave her flowers on their first date . , He was being very romantic . , he was going to win her heart . ,1
I gave my cat a bath and also brushed her fur . , she started to purr . , she enjoyed it . ,1
I asked all my friends to come over to my house tonight . , they are always busy . , they will not show up . ,0
The cashier gave me an explanation for the high price . , I asked for it politely . , I will get a discount . ,1
I asked my friends for help with my project . , I'm not very good at art . , they will judge me . ,0
I'd like to buy a new car . , I will have displayed my ability to be persuasive . , I am going to Ace this presentation . ,1
I am performing my duties as a maid . , I take pride in my work . , I positively make a difference . ,1
I asked my friends if they wanted to play soccer with me . , they are too busy . , they will refuse . ,0
I asked one of my best friends to teach me how to play the piano . , I enjoy music . , it will help me relieve stress . ,1
The government allocates resources efficiently to address the inequality in our society . , they never have in the past . , the government will never address the inequality in our society . ,0
I asked all my friends to come over to my house tonight . , nobody RSVPed . , I will be the only one who shows up . ,0
My dad is taking me to the library because I have a project due . , its for my future . , I will find the best book ever . ,1
I beat my personal record in the 100 meter dash by 0.2 seconds . , I have put in the work and I have the talent . , I am going to make the Olympic team . ,1
My boyfriend asked me to marry him on our trip to Paris . , we have only been together for six months . , he is just doing it for the sake of doing it . ,0
My brother-in-law is helping my husband practice for his driving test . , he is a very good driver . , he is going to pass . ,1
I took over my mom's shift at work . , I did a great job . , I will  get a raise . ,1
I was on Quora the other day and answered a few questions on programming . , it was well received by the question askers . , myAnswer can help others . ,1
I agreed to take my little sister to the mall . , she is very persuasive . , she will never stop asking me to buy her things . ,0
My friends ask me to prom . , I don't know anyone else going . , I will be the only one without a date . ,0
I asked my boss if she would join my book club . , sheรขย  always liked to read . , she will agree . ,1
I have to accept my employees resignation because he is caught stealing from the company . , I have no tolerance for stealing . , it will set an example for the rest of the employees . ,1
I ask my friends for help in finding a job . , they are all busy with their own lives . , I will appear to be a burden . ,0
"When I turned 18, I was able to vote for the first time . ", I would be able to vote for a president . , my vote would actually matter . ,1
"I accidentally sent an email to my boss that was meant for my friend, and I apologized profusely . ", he just chuckled and said it happens to the best of us . , my boss forgave me . ,1
I asked my mom if I could go to the movies . , she said yes . , I will be able to see the movie . ,1
The cashier gave me a description of the dress I wanted . , she was polite and gave me a smile . , she was helpful . ,1
She efficiently allocates her time between work and relaxation . , I'm not good at time management . , I will never be able to have a work-life balance . ,0
I begin my career as an accountant . , it offers great job security . , it is a very stable profession . ,1
I ask my boss's opinion on what color to paint my office walls . , he knows me and my style . , he will choose  my color choice . ,1
"I asked my boss for a raise, and he also asked me to work on the weekends . ", he didn't give me a raise . , I will have to work even harder with no extra pay . ,0
I was playing chess with my boss's dad and I won . , he wanted to win . , he will be upset . ,0
I assure my boss that I will be able to take care of the problem . , it's too difficult . , I won't be able to do it . ,0
I have arrived in Honolulu for my vacation . , it is a beautiful place and the people are friendly . , I will have a lot of fun . ,1
I was bragging to my friends the other day about how I got a new car . , I choose the color and make of the car . , I have great taste in cars . ,1
My mom takes me to the library every week . , I have gone through all the shelves . , I will find a good book to read . ,1
I have brought my grades up this semester . , it was so difficult last time . , I will not be able to do it again . ,0
"I wanted to get a new car, so I saved up and finally bought one . ", I worked hard for it . , I can afford it . ,1
"I was going to the grocery store, but then my cat barred my way . ", I found a lucky penny on the ground . , I will have a great day . ,1
I ask my boss's mom for help with my car . , he is always busy . , he may say no . ,0
I ask my family for their opinion on a major life decision I am about to make . , they have always been supportive . , they will give me positive feedback . ,1
I am adjusting my keys on the keyboard so that they are equally spaced out and minimize wear and tear . , I took the time to do this . , my keys will last much longer . ,1
I just started my first internship this week at a prestigious law firm . , it will be beneficial for me in the future . , I am going to learn a lot and gain good work experience . ,1
My allergies are really starting to affect my ability to concentrate in class . , It's hard to focus when you can't stop sneezing . , It'll be hard to keep up with the material . ,0
I am forming a new organization with my friends . , we share the same interests . , it will be a lot of fun . ,1
I act weird around people i am interested in . , I’m not afraid to show my true self . , they will think I’m cool and unique . ,1
I notice my boss is crying and I bring tissues to her . , I am being compassionate and helping her in a difficult moment . , I am being a good co-worker . ,1
I asked my friend for my crush's number . , my friend is his best friend . , I'm going to get a date with my crush . ,1
I also took out the new girl on a date . , I'm not her type . , she will say no . ,0
I asked my parents for money to buy a car . , they are wealthy . , I will get the money . ,1
The cashier asked me for my name and address . , I've never been asked for that information before . , I'm going to get spam mail . ,0
I ask my doctor for a referral to see a specialist . , I haven't been his patient for very long . , he will say no . ,0
I was waiting for my brother to take his turn in the video game . , we always play together . , he wanted to play with me . ,1
I ask my boss to let me leave early so I can attend my child's soccer game . , I just started working here . , my boss will refuse . ,0
I am ashamed of myself and I bow my head in front of my boss . , I have no confidence . , he will never respect me . ,0
My travel agent gave me a description of the different ocean cruises . , I have a fear of the ocean . , I will be  seasick the whole time . ,0
I take on the form of my boss in order to make a point to my employees . , I will be acting like the boss . , my employees will take me more seriously . ,1
I asked my girlfriend what she wanted for dinner and she said she didn't know . , it's my responsibility to make sure she's fed . , I can choose what we're going to have . ,1
I asked the grocery store clerk for pardon because I accidentally cut in front of her in line . , I am sincere and honest . , she will let me go . ,1
I'm going to bring my kids to soccer practice . , I love watching them play . , I'll be able to spend some quality time with them . ,1
"I need to do some laundry, but I keep procrastinating . ", I have some extra time . , I will get it done today . ,1
I am going to bite my tongue to keep from arguing with my mom . , we argue a lot . , she may never listen to me . ,0
My mom is attending my doctor's appointment  with me . , I didn't take my health seriously . , she will be disappointed in me . ,0
I was about to ask my boss for a raise when she told me to take a seat . , she has been impressed by my work . , she was going to give me a raise . ,1
My date and I are getting to know each other better . , we have so much in common and laugh a lot together . , he is perfect for me . ,1
"I believe in my luck, and it pays off when I win the lottery . ", I Manifest what I want . , my thinking positively paid off . ,1
I asked Sarah's dad for permission to marry her . , I have known him for years and he likes me . , he will give me his blessing . ,1
"The military has been disbanded, and everyone is now trying to find new jobs . ", there are now more unemployed people . , the economy may not improve . ,0
I adopt the kitten from the shelter . , they will be left behind . , the other kittens will be euthanized . ,0
I am leading a team of people in a marathon . , I used to be a professional athlete . , we can reach the finish line first . ,1
I ask my friend for advice on how to ask a girl out . , he is  my best friend . , he will  give  me honest and positive feedback . ,1
"I was out fishing with my buddies and one of them forgot to bring bait, so I had to share mine . ", the bait I was using was not effective . , I will not catch any fish . ,0
I bet my best friend that I could wear heels for an entire day . , I can't even walk in heels . , I will fail . ,0
I raised my eyebrow to look arrogant . , I  wanted to show my discontent . , I will be misunderstood . ,0
The professor asked me to explain the experiment . , I don't know the answer . , I will make a fool of myself . ,0
The economic recession has affected my family in many ways . , we have had to spend less and work harder . , we are all doing better . ,1
I answer my purpose by making a lot of money so that my family can live comfortably . , I can never have enough money . , I will have to work for the rest of my life . ,0
"I'm currently going through a divorce and although it's been hard, I'm trying to focus on being the best parent I can be for my kids . ", I'm not sure if I will ever find love again . , I will be alone for the rest of my life . ,0
I ask my boss's opinion on what color to paint my office walls . , he usually prefers earth tones  . , he will say no . ,0
I bring together the people that I know will not get along in order to create a successful work environment . , past experience has taught me that people can come together and work harmoniously if they are given the chance to do so . , the result will be a cohesive work force . ,1
I was in line at the grocery store and the person in front of me was acting really weird . , her behavior is unusual . , she may be sick . ,0
The students crowd around the table to get a better view of the experiment . , they want to see the experiment . , that they are interested in what is happening . ,1
I will bring my daughter to school . , I have packed her lunch and everything she needs for school . , everything will go smoothly . ,1
I gave my brother some money so he could afford a new car . , he is usually responsible with money . , he will pay me back in a timely matter . ,1
I help my boss make a tough decision . , my boss thanks me for my help . , positively that I've contributed . ,1
A same-sex couple adopts a child . , they don't have  a traditional family . , the child will be teased . ,0
The questions my boss asked me were very difficult . , I have worked hard and shown my dedication to the company . , I will get the promotion . ,1
"Last week, John asked me to go to Homecoming with him but I said no because I don't think of him like that . ", I rejected him . , he will be upset . ,0
My best friend argues with her boyfriend every day . , they don't seem to get along very well . , he will leave her . ,0
I used my grandparents' old car to get to my friend's house . , it's very old . , the car will break down on the way there . ,0
I broke my hip when I fell from the tree . , I am young and have a good health . , I will recover quickly . ,1
I am going to ask my friend's crush out on a date . , I really like her and we get along great . , I will have a lot of fun . ,1
"I believe in my luck, and it pays off when I win the lottery . ", I have a winning ticket . , I am lucky . ,1
My brothers let me play with their new toys . , they are always so fun to be around . , I had the best time . ,1
The cashier asked me for my name and address . , I don't have my ID card with me . , I will be suspected of fraud . ,0
I was at the gun range the other day practicing my aim . , my shots were a lot more accurate than they have been in the past . , I'm improving . ,1
I achieved my goal of running a marathon under 4 hours . , I now know that I can persevere through any physical pain . , I can do anything now . ,1
"After my fall , I had to have surgery to fix my broken hip . ", my doctor said I have to be careful . , I will never be able to walk without a cane . ,0
I put your plan into action and got the girl's number . , I am unattractive . , you will make fun of me . ,0
I asked one of my best friends to teach me how to play the piano . , I didn't inherit the musical talent from my parents . , he may think I am not good enough . ,0
I break my mother's favorite vase by accident . , she loves me . , she will buy me a new one . ,1
I arranged an interview for my friend with the CEO . , the CEO liked her and she has the appropriate qualifications . , she will get the job . ,1
I ask my friends for help in finding a job . , they  are busy with their own work . , they may not be able to help me . ,0
I asked my boss for two weeks off for my vacation . , I have worked hard and taken on extra assignments . , he will give me the time off . ,1
I decided to bake my own bread this week . , I bought a bread machine . , it will save me a lot of money . ,1
I needed to ask my date's father for help . , I am a good person who is responsible and capable . , he'll say yes . ,1
I accomplished my purpose of getting a haircut today . , I will look more attractive . , it will help me get a girlfriend . ,1
I break my back after falling down the stairs at my office . , now I know to be more careful . , I have learned my lesson . ,1
My doctor advised me to take medication for my anxiety . , I should be able to handle my anxiety on my own . , it means I'm weak . ,0
I accomplish my goal of becoming CEO by the age of 30 . , I have been working hard towards this since I was 22 . , I positively can achieve this . ,1
I have achieved my dream of becoming a doctor . , I'm not good enough . , I will not be able to help save people's lives . ,0
I was in class when the teacher called on me . , I had studied a lot for the test . , I nailed the answer . ,1
I bowed my head in respect when I met the Pope . , I am not very religious . , people will think I am not Catholic . ,0
I went to my friends room to study together . , she is studying with her friends . , she would not want to study with me . ,0
I asked my friend if she had seen my phone . , she has always been a honest person . , she was telling the truth . ,1
I was trying to attract the attention of the cute waiter . , I was making an effort to be friendly . , he would flirt back with me . ,1
I also told my boss that I accept the job position . , it will help me to progress in my career . , I made the best decision for my future . ,1
I begin my search for a new job . , I don't have much experience . , I will have trouble finding one . ,0
I called my mom for help because I was feeling down and needed to talk to somebody . , I called her at 2 a.m . , she may not want to talk to me . ,0
I was accompanying my friend's wife to her doctor's appointment . , I am not her husband . , I will be found out . ,0
I asked my boss for a day off tomorrow so I can go to my daughter's graduation . , I have been working hard and have not taken any time off in a while . , my boss will approve it . ,1
I asked my boss what he wanted from me . , he never asked me what I wanted . , he wants me to do something that I don't want to do . ,0
I asked my friend to ask the girl I like out for me . , he is a great friend . , he will say yes . ,1
One of my friends from college appeared in a picture with Beyonce . , she is one of my favorite celebrities . , I will be jealous . ,0
